Year,Case Vehicle ID,Vehicle Body Type,Registration Class,Action Prior to Accident,Type / Axles of Truck or Bus,Direction of Travel,Fuel Type,Vehicle Year,State of Registration,Number of Occupants,Engine Cylinders,Vehicle Make,Contributing Factor 1,Contributing Factor 1 Description,Contributing Factor 2,Contributing Factor 2 Description,Event Type,Partial VIN
2018,15252776,SUBURBAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,West,Gas,2017,NY,1,4,MITSU,HUMAN,Unsafe Speed,ENVMT,Pavement Slippery,"Barrier, Collision With Fixed Object",JA4AZ3A37HZ058855
2018,15252779,SUBURBAN,PASSENGER OR SUBURBAN,Stopped in Traffic,Not Entered,North,Gas,2007,NY,3,8,FORD,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Applicable,1FMEU73877UA35928
2018,15252778,SUBURBAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,North,Gas,2017,NY,2,4,JEEP,HUMAN,Not Applicable,HUMAN,Unsafe Speed,Not Applicable,1C4NJRFB6HD107350
2018,15252781,DUMP,POLITICAL SUBDIVISION,Stopped in Traffic,Not Entered,West,Diesel,2012,NY,1,6,INTER,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Applicable,1HTWLAZR5CJ461818
2018,15252780,SUBURBAN,PASSENGER OR SUBURBAN,Overtaking/Passing,Not Entered,West,Gas,2016,NY,1,4,JEEP,HUMAN,Passing or Lane Usage Improper,ENVMT,Pavement Slippery,Not Applicable,1C4NJDEB3GD744988
2018,15252785,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,North,Gas,2006,NY,1,4,SUBAR,HUMAN,Unsafe Speed,ENVMT,Pavement Slippery,Not Applicable,4S3BL626767209451
2018,15252786,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,West,Gas,2016,NY,1,4,HYUND,HUMAN,Not Applicable,HUMAN,Unsafe Speed,Not Applicable,KMHCT4AE1GU167147
2018,15252790,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,North,Gas,2012,NY,1,4,NISSA,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Applicable,1N4AL2AP9CN422462
2018,15252789,PICKUP TRUCK,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,North,Gas,2014,NY,1,8,FORD,HUMAN,Following Too Closely,ENVMT,Pavement Slippery,Not Applicable,1FTFW1EF0EFC49270
2018,15252793,SUBURBAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,North,Gas,2008,NY,2,6,CHEVR,HUMAN,Unsafe Speed,ENVMT,Pavement Slippery,"Tree, Collision With Fixed Object",2CNDL63F886067231
2018,15252802,PICKUP TRUCK,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,South,Gas,2014,NY,2,8,CHEVR,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Applicable,3GCUKREC1EG281554
2018,15252801,SUBURBAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,South,Gas,2013,NY,1,4,FORD,HUMAN,Unsafe Speed,ENVMT,Pavement Slippery,Not Applicable,1FMCU9G92DUC87779
2018,15252803,SUBURBAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,North,Gas,1995,NY,1,6,TOYOT,HUMAN,Unsafe Speed,ENVMT,Pavement Slippery,Not Applicable,JT3DJ81W0S0105905
2018,15252804,VAN TRUCK,COMMERCIAL,Going Straight Ahead,Not Entered,East,Gas,2012,NY,1,8,FORD,HUMAN,Not Applicable,HUMAN,Unsafe Speed,Not Applicable,1FTNE2EW2CDA33482
2018,15252808,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Stopped in Traffic,Not Entered,East,Gas,2014,NY,1,4,NISSA,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Applicable,1N4AL3AP9EN256193
2018,15252807,2 DOOR SEDAN,PASSENGER OR SUBURBAN,Slowing or Stopping,Not Entered,East,Gas,2005,NY,1,4,HYUND,HUMAN,Not Applicable,HUMAN,Following Too Closely,Not Applicable,KMHCG35C65U366182
2018,15252806,SUBURBAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,West,Gas,2017,NY,2,6,TOYOT,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Applicable,5TDJZRFH1HS482904
2018,15252805,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,East,Gas,2005,NY,1,4,NISSA,HUMAN,Not Applicable,HUMAN,Unsafe Lane Changing,Not Applicable,3N1CB51D35L556919
2018,15252810,SUBURBAN,PASSENGER OR SUBURBAN,Stopped in Traffic,Not Entered,South,Gas,2017,NY,1,6,HYUND,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Applicable,KM8SNDHF2HU208505
2018,15252809,SUBURBAN,PASSENGER OR SUBURBAN,Slowing or Stopping,Not Entered,South,Gas,2014,NY,1,4,JEEP,HUMAN,Not Applicable,HUMAN,Unsafe Speed,Not Applicable,1C4NJRBB4ED598678
